longitude,countyFIPS,monthlyHoaFee,annualHomeownersInsurance,rentZestimate,livingArea,propertyTaxRate,bathrooms,bedrooms,price,homeType_CONDO,homeType_SINGLE_FAMILY,homeType_OTHER
-149.674186815022,2001.6704943423795,-14.807458428998075,1538,1918.6610197085365,1042.0583473084257,1.3073325991017146,3.0,3.0,107418,1,0,1
-149.90712231627757,2010.4353059106525,-7.823285346722556,2681,1545.4807749203846,1749.364472707444,1.3113707811574764,2.5,3.0,509221,1,0,0
-149.98709105327114,1944.1291079096977,25.920604664970945,1264,2407.772551399752,1759.4337004885122,1.309047192798927,2.5,3.0,1048636,0,1,0
-149.70444327033388,1959.6299794134961,212.77107263360216,776,1906.4433348734567,1121.3113547354692,1.3104143943729663,3.0,6.0,240722,0,0,1
-149.62496363509936,2025.4956045953265,-14.501189362744011,875,3118.527007838552,2184.2790491483674,1.309040891305122,3.0,4.0,348091,0,1,0
-149.72135895734243,2029.0881630298388,-11.77158187578635,1297,3631.959175078612,2002.980286852294,1.3096578760469797,2.5,4.0,81342,0,1,0
-149.73507011632356,2051.9021914144205,-5.879845855842964,1231,1730.751436942827,1947.6560563835417,1.3094090911347462,1.0,2.0,402925,0,1,0
-149.75168656403935,1972.3057267994527,-6.024959148047379,860,4124.155219662296,1201.6268226752309,1.3113291795186073,2.5,4.0,125943,0,1,0
-149.62288295755266,2041.3540069101437,1.6324991284066361,1265,2257.860525167885,734.7444315186249,1.310496793982297,2.0,4.0,402839,0,1,0
-149.79934927847728,2043.0029343362085,-19.712372496356576,1613,1490.2805847799157,1890.7755495671665,1.3078747993314743,3.0,3.0,252856,0,1,0
-149.9042246276281,2047.6073329956785,-9.8015196530433,1766,3180.9075253677133,2155.828346453958,1.3085183274396517,1.5,2.0,522262,0,1,0
-149.87606661055216,2038.9059298448433,-8.458489083292452,1377,3317.5566473830686,3398.535897420301,1.3099945059821045,3.0,3.0,306952,0,1,1
-149.7830732090557,2106.7057091927422,2.366506133062136,1723,1486.4284162341728,1208.2777494055006,1.3112435189701022,2.0,3.0,383555,0,1,0
-149.91115322069913,2037.8715654484658,-8.658972926496627,2036,3688.948304551911,1997.976509164713,1.3068239235186843,2.0,3.0,269859,0,1,0
-149.60023821068114,2000.6407402310776,-16.245189612418468,1185,2789.296834448096,2508.9200883519698,1.3099426579077298,1.0,6.0,975281,0,1,0
-149.95352030126836,2003.1428946589542,-1.2698943006586387,1304,2353.555500414572,1733.0232737811782,1.3092185716961782,2.0,3.0,241468,0,1,0
-149.95675225788315,1993.5129858469354,6.440433329642227,903,2684.1245162294877,1039.770362684545,1.3105525122737098,2.0,2.0,168749,0,0,0
-149.86275613735634,2026.4842933702864,122.7346557780908,1601,2485.349285302196,1631.93991420853,1.2406991224394184,2.5,4.0,243408,0,1,1
-149.82591007886515,2073.007234453374,-1.238766224295527,2042,2288.3219765472704,1910.745070882842,1.3122892994888506,1.0,3.0,197304,0,1,0
-149.83886853456016,2117.366048099439,-6.498355895580949,1260,2745.733517883251,595.3504578811364,1.3093293579417908,2.5,3.0,435415,1,1,0
-149.83177749985106,2020.73690414972,284.9074561241047,2997,2649.327057893973,1964.4812398045185,1.309558706551241,2.5,4.0,324571,0,1,0
-149.78404176795306,2031.5895944039303,1.4728648633516839,1879,1745.590931603487,1947.9731358610031,1.310589411643275,2.0,2.0,316000,1,1,0
-149.63421095637054,2074.8870069335962,-5.200046518282443,1331,2666.9599413067695,1747.705311215307,1.3091687388466902,2.5,4.0,247910,0,1,0
-149.85552077910418,1943.31780756734,-0.8894922161063024,1200,2917.085729124245,3460.7200268823817,1.310635582965808,2.0,3.0,305623,0,0,0
-150.00385978202098,2059.525829944115,-13.856691193502034,1138,1916.7553080278244,2374.593309135299,1.310042654833141,3.0,3.0,288963,0,1,1
-149.71896471711622,2026.4588812331374,-0.963208423587846,1842,3114.576789903782,2074.630545586061,1.3076520650892087,1.5,4.0,423817,0,1,0
-149.74931709877194,2017.4990401254765,-12.462442565049123,1339,1621.1893292685718,1411.5134266978037,1.3069168254064316,2.0,3.0,324769,0,1,0
-149.98940627433652,1957.6503235250216,448.89246628000484,557,4567.6612721806205,634.5126998689636,1.3090260172919659,3.0,3.0,273956,0,1,1
