longitude,countyFIPS,monthlyHoaFee,annualHomeownersInsurance,yearBuilt,latitude,rentZestimate,timeOnZillow,livingArea,zipcode,propertyTaxRate,bathrooms,bedrooms,price,homeType_CONDO,homeType_SINGLE_FAMILY,homeType_OTHER,cluster,cluster_average_price
-149.90807,2020.0,0.0,2840,1959.0,61.217308,3142.0,3609.0,2668.0,99501,1.31,2.0,3.0,676100,0,1,0,3,380546.2917827298
-149.90822,2020.0,0.0,2934,1961.0,61.217136,3113.0,4334.0,3179.0,99501,1.31,2.0,3.0,698600,0,1,0,0,657634.9143610013
-149.90833,2020.0,0.0,4187,1983.0,61.217,4282.0,3758.0,3059.0,99501,1.31,3.0,4.0,996800,0,1,0,0,657634.9143610013
-149.90834,2020.0,0.0,2920,1947.0,61.21672,3458.0,3543.0,1642.0,99501,1.31,2.0,5.0,695300,0,1,0,3,380546.2917827298
-149.90749,2020.0,0.0,4100,2000.0,61.21712,4161.0,3953.0,4483.0,99501,1.31,4.0,4.0,976100,1,0,0,0,657634.9143610013
-149.90723,2020.0,0.0,2535,2018.0,61.217003,3943.0,3011.0,2560.0,99501,1.31,3.5,3.0,603600,1,0,0,0,657634.9143610013
-149.90723,2020.0,0.0,3042,1961.0,61.21714,3318.0,1512.0,3224.0,99501,1.31,3.0,6.0,724400,0,0,1,2,418509.68133802817
-149.90546,2020.0,0.0,1865,1978.0,61.21833,3591.0,1201.0,2087.0,99501,1.31,3.0,2.0,444100,1,0,0,1,200173.4314516129
-149.91057,2020.0,0.0,862,1973.0,61.21452,1945.0,5089.0,899.0,99501,1.31,1.0,2.0,205200,1,0,0,1,200173.4314516129
-149.91037,2020.0,0.0,1944,1930.0,61.215305,2128.0,3672.0,678.0,99501,1.31,1.0,1.0,462800,0,1,0,3,380546.2917827298
-149.91046,2020.0,0.0,879,1977.0,61.214752,1852.0,2016.0,757.0,99501,1.31,1.0,1.0,209300,1,0,0,1,200173.4314516129
-149.91046,2020.0,0.0,874,1977.0,61.214752,1852.0,3658.0,756.0,99501,1.31,1.0,1.0,208000,1,0,0,1,200173.4314516129
-149.91046,2020.0,0.0,1392,1977.0,61.214752,2222.0,3515.0,1483.0,99501,1.31,1.5,2.0,331500,1,0,0,1,200173.4314516129
-149.91046,2020.0,0.0,1583,1977.0,61.214752,2357.0,3431.0,1500.0,99501,1.31,1.5,2.0,376800,0,0,1,2,418509.68133802817
-149.90953,2020.0,0.0,1512,1978.0,61.2154,2037.0,3907.0,1227.0,99501,1.31,1.5,2.0,360100,1,0,0,1,200173.4314516129
-149.90953,2020.0,275.0,1393,1978.0,61.2154,2142.0,7914.0,1022.0,99501,1.31,1.5,2.0,331600,1,0,0,1,200173.4314516129
-149.90953,2020.0,275.0,1660,1978.0,61.2154,2485.0,3568.0,1317.0,99501,1.31,2.0,2.0,395300,1,0,0,1,200173.4314516129
-149.90605,2020.0,430.0,803,1971.0,61.21425,1788.0,4064.0,859.0,99501,1.31,1.0,1.0,191300,0,0,1,2,418509.68133802817
-149.90605,2020.0,367.0,764,1971.0,61.21425,1788.0,1810.0,840.0,99501,1.31,1.0,1.0,182000,0,0,1,2,418509.68133802817
