longitude,countyFIPS,monthlyHoaFee,annualHomeownersInsurance,rentZestimate,livingArea,propertyTaxRate,bathrooms,bedrooms,price,homeType_CONDO,homeType_SINGLE_FAMILY,homeType_OTHER
-149.90807,2020.0,0.0,2840,3142.0,2668.0,1.31,2.0,3.0,676100,0,1,0
-149.90822,2020.0,0.0,2934,3113.0,3179.0,1.31,2.0,3.0,698600,0,1,0
-149.90833,2020.0,0.0,4187,4282.0,3059.0,1.31,3.0,4.0,996800,0,1,0
-149.90834,2020.0,0.0,2920,3458.0,1642.0,1.31,2.0,5.0,695300,0,1,0
-149.90749,2020.0,0.0,4100,4161.0,4483.0,1.31,4.0,4.0,976100,1,0,0
-149.90723,2020.0,0.0,2535,3943.0,2560.0,1.31,3.5,3.0,603600,1,0,0
-149.90723,2020.0,0.0,3042,3318.0,3224.0,1.31,3.0,6.0,724400,0,0,1
-149.90546,2020.0,0.0,1865,3591.0,2087.0,1.31,3.0,2.0,444100,1,0,0
-149.91057,2020.0,0.0,862,1945.0,899.0,1.31,1.0,2.0,205200,1,0,0
-149.91037,2020.0,0.0,1944,2128.0,678.0,1.31,1.0,1.0,462800,0,1,0
-149.91046,2020.0,0.0,879,1852.0,757.0,1.31,1.0,1.0,209300,1,0,0
-149.91046,2020.0,0.0,874,1852.0,756.0,1.31,1.0,1.0,208000,1,0,0
-149.91046,2020.0,0.0,1392,2222.0,1483.0,1.31,1.5,2.0,331500,1,0,0
-149.91046,2020.0,0.0,1583,2357.0,1500.0,1.31,1.5,2.0,376800,0,0,1
-149.90953,2020.0,0.0,1512,2037.0,1227.0,1.31,1.5,2.0,360100,1,0,0
-149.90953,2020.0,275.0,1393,2142.0,1022.0,1.31,1.5,2.0,331600,1,0,0
-149.90953,2020.0,275.0,1660,2485.0,1317.0,1.31,2.0,2.0,395300,1,0,0
-149.90605,2020.0,430.0,803,1788.0,859.0,1.31,1.0,1.0,191300,0,0,1
-149.90605,2020.0,367.0,764,1788.0,840.0,1.31,1.0,1.0,182000,0,0,1
-149.90605,2020.0,430.0,805,1754.0,866.0,1.31,1.0,1.0,191600,1,0,0
-149.90605,2020.0,430.0,904,1787.0,841.0,1.31,1.0,1.0,215200,1,0,0
-149.90605,2020.0,0.0,864,1746.0,872.0,1.31,1.0,1.0,205800,1,0,0
-149.90431,2020.0,368.0,631,1930.0,570.0,1.31,1.0,1.0,150200,1,0,0
-149.90431,2020.0,368.0,584,1885.0,540.0,1.31,1.0,1.0,139100,1,0,0
-149.90431,2020.0,0.0,728,1893.0,666.0,1.31,1.0,2.0,173400,1,0,0
-149.90431,2020.0,368.0,648,1916.0,560.0,1.31,1.0,1.0,154200,1,0,0
-149.90431,2020.0,368.0,563,1863.0,550.0,1.31,1.0,1.0,134000,0,0,1
-149.90431,2020.0,364.0,620,1822.0,500.0,1.31,1.0,1.0,147500,1,0,0
-149.9053,2020.0,440.0,1344,1716.0,762.0,1.31,1.0,1.0,319900,1,0,0
-149.89816,2020.0,0.0,2919,2351.0,1407.0,1.31,1.0,3.0,695100,0,1,0
-149.90778,2020.0,0.0,1131,2146.0,1047.0,1.31,1.5,3.0,269200,1,0,0
-149.90778,2020.0,0.0,1094,2160.0,1089.0,1.31,1.5,2.0,260400,1,0,0
-149.90778,2020.0,0.0,1063,2121.0,1047.0,1.31,1.5,2.0,253000,1,0,0
-149.90778,2020.0,432.0,1115,1864.0,1114.0,1.31,1.5,2.0,265400,1,0,0
-149.90778,2020.0,0.0,1191,1952.0,1116.0,1.31,1.5,2.0,283600,1,0,0
-149.9122,2020.0,11.0,1042,1880.0,688.0,1.31,1.0,1.0,248000,1,0,0
-149.91325,2020.0,0.0,3852,4377.0,3848.0,1.31,2.5,5.0,917100,0,1,0
-149.91335,2020.0,0.0,2477,4194.0,2817.0,1.31,4.0,5.0,589700,0,1,0
-149.9123,2020.0,0.0,1891,2547.0,2059.0,1.31,2.0,2.0,450200,0,1,0
-149.9134,2020.0,0.0,1619,2206.0,1752.0,1.31,1.5,2.0,385400,0,1,0
-149.9135,2020.0,0.0,3985,5491.0,4007.0,1.31,5.0,5.0,948700,0,1,0
-149.914,2020.0,0.0,3357,1889.0,900.0,1.31,1.0,2.0,799200,0,0,1
-149.91322,2020.0,0.0,1957,3278.0,1728.0,1.31,2.0,4.0,466000,0,1,0
-149.9164,2020.0,0.0,1950,2271.0,1450.0,1.31,2.0,4.0,464200,0,0,1
-149.91669,2020.0,0.0,4940,5457.0,4296.0,1.31,3.5,4.0,1176100,0,1,0
-149.9181,2020.0,386.0,2608,3906.0,2544.0,1.31,3.0,5.0,620900,0,1,0
-149.91888,2020.0,0.0,2715,3372.0,2280.0,1.31,2.0,3.0,646400,0,1,0
-149.89815,2020.0,0.0,2564,2484.0,3195.0,1.31,2.0,4.0,610400,0,0,1
-149.89815,2020.0,0.0,2350,3017.0,2475.0,1.31,2.0,4.0,559600,0,1,0
-149.89905,2020.0,0.0,2320,2942.0,2475.0,1.31,3.0,4.0,552400,0,0,1
-149.89905,2020.0,0.0,2100,2576.0,1650.0,1.31,2.0,4.0,500000,0,0,1
-149.89848,2020.0,0.0,539,1806.0,570.0,1.31,1.0,1.0,128300,0,0,1
-149.89848,2020.0,0.0,549,1804.0,555.0,1.31,0.0,1.0,130600,1,0,0
-149.89848,2020.0,0.0,532,1807.0,571.0,1.31,1.0,1.0,126700,1,0,0
-149.89848,2020.0,0.0,587,1847.0,588.0,1.31,1.0,1.0,139800,1,0,0
-149.90265,2020.0,0.0,1834,2235.0,1783.0,1.31,1.5,2.0,436700,0,1,0
-149.90195,2020.0,0.0,2635,3573.0,3061.0,1.31,3.0,3.0,627400,0,1,0
-149.89989,2020.0,386.0,1241,2373.0,1100.0,1.31,2.0,2.0,295400,1,0,0
