longitude,countyFIPS,monthlyHoaFee,annualHomeownersInsurance,state,yearBuilt,latitude,rentZestimate,city,zestimateLowPercent,timeOnZillow,zestimate,livingArea,zipcode,propertyTaxRate,bathrooms,bedrooms,price,zestimateHighPercent,homeType_APARTMENT,homeType_CONDO,homeType_LOT,homeType_MANUFACTURED,homeType_MULTI_FAMILY,homeType_SINGLE_FAMILY
-149.90807,2020.0,0.0,2840,AK,1959.0,61.217308,3142.0,Anchorage,12.0,3609.0,676100.0,2668.0,99501,1.31,2.0,3.0,676100,13.0,0,0,0,0,0,1
-149.90822,2020.0,0.0,2934,AK,1961.0,61.217136,3113.0,Anchorage,12.0,1489.0,698600.0,3179.0,99501,1.31,2.0,3.0,698600,13.0,0,0,0,0,0,1
-149.90833,2020.0,0.0,4187,AK,1983.0,61.217,4282.0,Anchorage,12.0,3758.0,996800.0,3059.0,99501,1.31,3.0,4.0,996800,14.0,0,0,0,0,0,1
-149.90834,2020.0,0.0,2920,AK,1947.0,61.21672,3458.0,Anchorage,15.0,3543.0,695300.0,1642.0,99501,1.31,2.0,5.0,695300,16.0,0,0,0,0,0,1
-149.90749,2020.0,0.0,4100,AK,2000.0,61.21712,4161.0,Anchorage,18.0,3953.0,976100.0,4483.0,99501,1.31,4.0,4.0,976100,24.0,0,1,0,0,0,0
-149.90723,2020.0,0.0,2535,AK,2018.0,61.217003,3943.0,Anchorage,11.0,3011.0,603600.0,2560.0,99501,1.31,3.5,3.0,603600,13.0,0,1,0,0,0,0
-149.90723,2020.0,0.0,3042,AK,1961.0,61.21714,3318.0,Anchorage,11.0,1512.0,724400.0,3224.0,99501,1.31,3.0,6.0,724400,12.0,0,0,0,0,1,0
-149.90546,2020.0,0.0,1865,AK,1978.0,61.21833,3591.0,Anchorage,11.0,1201.0,444100.0,2087.0,99501,1.31,3.0,2.0,444100,12.0,0,1,0,0,0,0
-149.91057,2020.0,0.0,862,AK,1973.0,61.21452,1945.0,Anchorage,13.0,5089.0,205200.0,899.0,99501,1.31,1.0,2.0,205200,13.0,0,1,0,0,0,0
-149.91037,2020.0,0.0,1944,AK,1930.0,61.215305,2128.0,Anchorage,12.0,3672.0,462800.0,678.0,99501,1.31,1.0,1.0,462800,13.0,0,0,0,0,0,1
-149.91046,2020.0,0.0,879,AK,1977.0,61.214752,1852.0,Anchorage,11.0,3627.0,209300.0,757.0,99501,1.31,1.0,1.0,209300,11.0,0,1,0,0,0,0
-149.91046,2020.0,0.0,874,AK,1977.0,61.214752,1852.0,Anchorage,11.0,3658.0,208000.0,756.0,99501,1.31,1.0,1.0,208000,11.0,0,1,0,0,0,0
-149.91046,2020.0,0.0,1392,AK,1977.0,61.214752,2222.0,Anchorage,11.0,3515.0,331500.0,1483.0,99501,1.31,1.5,2.0,331500,11.0,0,1,0,0,0,0
-149.91046,2020.0,0.0,1583,AK,1977.0,61.214752,2357.0,Anchorage,11.0,3431.0,376800.0,1500.0,99501,1.31,1.5,2.0,376800,13.0,0,0,0,0,1,0
-149.90953,2020.0,0.0,1512,AK,1978.0,61.2154,2037.0,Anchorage,12.0,2323.0,360100.0,1227.0,99501,1.31,1.5,2.0,360100,12.0,0,1,0,0,0,0
-149.90953,2020.0,275.0,1393,AK,1978.0,61.2154,2142.0,Anchorage,11.0,7914.0,331600.0,1022.0,99501,1.31,1.5,2.0,331600,11.0,0,1,0,0,0,0
-149.90953,2020.0,275.0,1660,AK,1978.0,61.2154,2485.0,Anchorage,11.0,3568.0,395300.0,1317.0,99501,1.31,2.0,2.0,395300,12.0,0,1,0,0,0,0
-149.90605,2020.0,430.0,803,AK,1971.0,61.21425,1788.0,Anchorage,10.0,4064.0,191300.0,859.0,99501,1.31,1.0,1.0,191300,10.0,0,0,0,0,0,0
-149.90605,2020.0,367.0,764,AK,1971.0,61.21425,1788.0,Anchorage,9.0,1810.0,182000.0,840.0,99501,1.31,1.0,1.0,182000,9.0,1,0,0,0,0,0
-149.90605,2020.0,430.0,805,AK,1971.0,61.21425,1754.0,Anchorage,12.0,5606.0,191600.0,866.0,99501,1.31,1.0,1.0,191600,12.0,0,1,0,0,0,0
-149.90605,2020.0,430.0,904,AK,1971.0,61.21425,1787.0,Anchorage,10.0,3310.0,215200.0,841.0,99501,1.31,1.0,1.0,215200,10.0,0,1,0,0,0,0
-149.90605,2020.0,0.0,864,AK,1971.0,61.21425,1746.0,Anchorage,9.0,3847.0,205800.0,872.0,99501,1.31,1.0,1.0,205800,10.0,0,1,0,0,0,0
-149.90431,2020.0,368.0,631,AK,1950.0,61.216377,1930.0,Anchorage,11.0,3590.0,150200.0,570.0,99501,1.31,1.0,1.0,150200,11.0,0,1,0,0,0,0
-149.90431,2020.0,368.0,584,AK,1950.0,61.216377,1885.0,Anchorage,13.0,7804.0,139100.0,540.0,99501,1.31,1.0,1.0,139100,13.0,0,1,0,0,0,0
-149.90431,2020.0,0.0,728,AK,1950.0,61.216377,1893.0,Anchorage,11.0,3702.0,173400.0,666.0,99501,1.31,1.0,2.0,173400,11.0,0,1,0,0,0,0
-149.90431,2020.0,368.0,648,AK,1950.0,61.216377,1916.0,Anchorage,12.0,4101.0,154200.0,560.0,99501,1.31,1.0,1.0,154200,11.0,0,1,0,0,0,0
-149.90431,2020.0,368.0,563,AK,1950.0,61.216377,1863.0,Anchorage,13.0,2143.0,134000.0,550.0,99501,1.31,1.0,1.0,134000,14.0,1,0,0,0,0,0
-149.90431,2020.0,364.0,620,AK,1950.0,61.216377,1822.0,Anchorage,11.0,3089.0,147500.0,500.0,99501,1.31,1.0,1.0,147500,11.0,0,1,0,0,0,0
-149.9053,2020.0,440.0,1344,AK,1984.0,61.216488,1716.0,Anchorage,5.0,12.0,316600.0,762.0,99501,1.31,1.0,1.0,319900,5.0,0,1,0,0,0,0
-149.89816,2020.0,0.0,2919,AK,1950.0,61.214336,2351.0,Anchorage,15.0,2030.0,695100.0,1407.0,99501,1.31,1.0,3.0,695100,16.0,0,0,0,0,0,1
-149.90778,2020.0,0.0,1131,AK,1974.0,61.21545,2146.0,Anchorage,11.0,4808.0,269200.0,1047.0,99501,1.31,1.5,3.0,269200,11.0,0,1,0,0,0,0
-149.90778,2020.0,0.0,1094,AK,1975.0,61.21545,2160.0,Anchorage,11.0,3617.0,260400.0,1089.0,99501,1.31,1.5,2.0,260400,11.0,0,1,0,0,0,0
-149.90778,2020.0,0.0,1063,AK,1974.0,61.21545,2121.0,Anchorage,11.0,3994.0,253000.0,1047.0,99501,1.31,1.5,2.0,253000,11.0,0,1,0,0,0,0
-149.90778,2020.0,432.0,1115,AK,1974.0,61.21545,1864.0,Anchorage,10.0,3574.0,265400.0,1114.0,99501,1.31,1.5,2.0,265400,10.0,0,1,0,0,0,0
-149.90778,2020.0,0.0,1191,AK,1975.0,61.21545,1952.0,Anchorage,10.0,3325.0,283600.0,1116.0,99501,1.31,1.5,2.0,283600,10.0,0,1,0,0,0,0
-149.9122,2020.0,11.0,1042,AK,1974.0,61.214584,1880.0,Anchorage,10.0,6311.0,248000.0,688.0,99501,1.31,1.0,1.0,248000,10.0,0,1,0,0,0,0
-149.91325,2020.0,0.0,3852,AK,1966.0,61.214115,4377.0,Anchorage,14.0,4087.0,917100.0,3848.0,99501,1.31,2.5,5.0,917100,15.0,0,0,0,0,0,1
-149.91335,2020.0,0.0,2477,AK,1957.0,61.210255,4194.0,Anchorage,11.0,6277.0,589700.0,2817.0,99501,1.31,4.0,5.0,589700,11.0,0,0,0,0,0,1
-149.9123,2020.0,0.0,1891,AK,1952.0,61.210873,2547.0,Anchorage,11.0,4359.0,450200.0,2059.0,99501,1.31,2.0,2.0,450200,11.0,0,0,0,0,0,1
-149.9134,2020.0,0.0,1619,AK,1942.0,61.210953,2206.0,Anchorage,13.0,5366.0,385400.0,1752.0,99501,1.31,1.5,2.0,385400,13.0,0,0,0,0,0,1
-149.9135,2020.0,0.0,3985,AK,1993.0,61.209904,5491.0,Anchorage,9.0,1834.0,948700.0,4007.0,99501,1.31,5.0,5.0,948700,10.0,0,0,0,0,0,1
-149.914,2020.0,0.0,3357,AK,1945.0,61.212322,1889.0,Anchorage,16.0,6339.0,799200.0,900.0,99501,1.31,1.0,2.0,799200,19.0,1,0,0,0,0,0
-149.91322,2020.0,0.0,1957,AK,1962.0,61.21335,3278.0,Anchorage,10.0,1379.0,466000.0,1728.0,99501,1.31,2.0,4.0,466000,10.0,0,0,0,0,0,1
-149.9164,2020.0,0.0,1950,AK,1952.0,61.21147,2271.0,Anchorage,10.0,3463.0,464200.0,1450.0,99501,1.31,2.0,4.0,464200,10.0,0,0,0,0,1,0
-149.91669,2020.0,0.0,4940,AK,2008.0,61.20989,5457.0,Anchorage,10.0,4142.0,1176100.0,4296.0,99501,1.31,3.5,4.0,1176100,11.0,0,0,0,0,0,1
-149.9181,2020.0,386.0,2608,AK,1961.0,61.209984,3906.0,Anchorage,11.0,3798.0,620900.0,2544.0,99501,1.31,3.0,5.0,620900,12.0,0,0,0,0,0,1
-149.91888,2020.0,0.0,2715,AK,1958.0,61.21097,3372.0,Anchorage,11.0,4464.0,646400.0,2280.0,99501,1.31,2.0,3.0,646400,12.0,0,0,0,0,0,1
-149.89815,2020.0,0.0,2564,AK,1954.0,61.211147,2484.0,Anchorage,11.0,3638.0,610400.0,3195.0,99501,1.31,2.0,4.0,610400,12.0,0,0,0,0,1,0
-149.89815,2020.0,0.0,2350,AK,1945.0,61.21036,3017.0,Anchorage,13.0,4218.0,559600.0,2475.0,99501,1.31,2.0,4.0,559600,14.0,0,0,0,0,0,1
-149.89905,2020.0,0.0,2320,AK,1945.0,61.21005,2942.0,Anchorage,13.0,5146.0,552400.0,2475.0,99501,1.31,3.0,4.0,552400,13.0,0,0,0,0,1,0
-149.89905,2020.0,0.0,2100,AK,1945.0,61.21099,2576.0,Anchorage,11.0,5978.0,500000.0,1650.0,99501,1.31,2.0,4.0,500000,12.0,0,0,0,0,1,0
-149.89848,2020.0,0.0,539,AK,1951.0,61.211796,1806.0,Anchorage,15.0,6052.0,128300.0,570.0,99501,1.31,1.0,1.0,128300,15.0,1,0,0,0,0,0
-149.89848,2020.0,0.0,549,AK,1951.0,61.211796,1804.0,Anchorage,15.0,3333.0,130600.0,555.0,99501,1.31,0.0,1.0,130600,15.0,0,1,0,0,0,0
-149.89848,2020.0,0.0,532,AK,1951.0,61.211796,1807.0,Anchorage,14.0,1407.0,126700.0,571.0,99501,1.31,1.0,1.0,126700,15.0,0,1,0,0,0,0
-149.89848,2020.0,0.0,587,AK,1951.0,61.211796,1847.0,Anchorage,14.0,1096.0,139800.0,588.0,99501,1.31,1.0,1.0,139800,14.0,0,1,0,0,0,0
-149.90265,2020.0,0.0,1834,AK,1949.0,61.211933,2235.0,Anchorage,14.0,3806.0,436700.0,1783.0,99501,1.31,1.5,2.0,436700,15.0,0,0,0,0,0,1
-149.90195,2020.0,0.0,2635,AK,1947.0,61.211388,3573.0,Anchorage,12.0,1096.0,627400.0,3061.0,99501,1.31,3.0,3.0,627400,13.0,0,0,0,0,0,1
-149.89989,2020.0,386.0,1241,AK,1983.0,61.21068,2373.0,Anchorage,11.0,1607.0,295400.0,1100.0,99501,1.31,2.0,2.0,295400,11.0,0,1,0,0,0,0
-149.89989,2020.0,386.0,1297,AK,1982.0,61.21068,2265.0,Anchorage,11.0,4064.0,308800.0,1040.0,99501,1.31,1.5,2.0,308800,10.0,0,0,0,0,0,0
-149.89989,2020.0,386.0,1345,AK,1982.0,61.21068,2337.0,Anchorage,8.0,2440.0,320200.0,1020.0,99501,1.31,2.0,2.0,320200,8.0,1,0,0,0,0,0
-149.89989,2020.0,386.0,1301,AK,1982.0,61.21068,2018.0,Anchorage,11.0,4124.0,309800.0,1100.0,99501,1.31,1.0,2.0,309800,11.0,0,1,0,0,0,0
-149.89989,2020.0,386.0,1305,AK,1982.0,61.21068,2019.0,Anchorage,11.0,4023.0,310600.0,1095.0,99501,1.31,1.0,2.0,310600,11.0,0,1,0,0,0,0
-149.89989,2020.0,386.0,984,AK,1982.0,61.21068,1887.0,Anchorage,10.0,3996.0,234400.0,903.0,99501,1.31,1.0,1.0,234400,10.0,0,1,0,0,0,0
-149.89989,2020.0,386.0,1281,AK,1982.0,61.21068,2203.0,Anchorage,10.0,5202.0,305100.0,1116.0,99501,1.31,1.5,2.0,305100,10.0,0,1,0,0,0,0
-149.89989,2020.0,386.0,1221,AK,1982.0,61.21068,2351.0,Anchorage,8.0,3777.0,290600.0,1052.0,99501,1.31,2.0,2.0,290600,8.0,0,1,0,0,0,0
-149.89989,2020.0,386.0,1311,AK,1982.0,61.21068,2754.0,Anchorage,11.0,4897.0,312200.0,1566.0,99501,1.31,2.5,2.0,312200,11.0,0,1,0,0,0,0
